time,open,high,low,close,volume
2025-06-15 18:00:00+00:00,310.38,310.58,310.2,310.3,7380
2025-06-15 19:00:00+00:00,310.51,310.51,310.21,310.25,11980
2025-06-15 20:00:00+00:00,310.25,310.49,310.2,310.47,4170
2025-06-16 03:00:00+00:00,310.2,310.2,310.2,310.2,6490
2025-06-16 04:00:00+00:00,310.2,310.85,309.81,310.65,464440
2025-06-16 05:00:00+00:00,310.55,310.81,310.23,310.59,140830
2025-06-16 06:00:00+00:00,310.55,311.64,310.32,311.53,896390
2025-06-16 07:00:00+00:00,311.51,312.59,310.87,311.34,2423100
2025-06-16 08:00:00+00:00,311.27,311.8,310.5,311.78,1684100
2025-06-16 09:00:00+00:00,311.79,313.2,311.39,313.1,2386020
2025-06-16 10:00:00+00:00,313.1,313.41,312.36,312.59,1702700
2025-06-16 11:00:00+00:00,312.6,313.99,312.37,313.29,2279290
2025-06-16 12:00:00+00:00,313.32,314.37,312.0,312.8,3022330
2025-06-16 13:00:00+00:00,312.8,313.3,311.07,311.45,3097250
2025-06-16 14:00:00+00:00,311.45,312.1,311.1,311.76,1071770
2025-06-16 15:00:00+00:00,311.78,311.8,311.25,311.71,462840
2025-06-16 16:00:00+00:00,311.52,311.95,311.08,311.83,528130
2025-06-16 17:00:00+00:00,311.83,311.98,311.61,311.71,182660
2025-06-16 18:00:00+00:00,311.7,312.07,311.6,311.75,280440
2025-06-16 19:00:00+00:00,311.73,311.78,311.08,311.44,486000
2025-06-16 20:00:00+00:00,311.45,311.85,311.24,311.5,212260
2025-06-17 03:00:00+00:00,311.61,311.61,311.61,311.61,2180
2025-06-17 04:00:00+00:00,311.62,312.88,310.5,312.51,1114370
2025-06-17 05:00:00+00:00,312.53,313.0,312.18,312.35,490350
2025-06-17 06:00:00+00:00,312.35,312.35,311.22,311.46,1218200
2025-06-17 07:00:00+00:00,311.46,313.49,311.2,312.81,2945710
2025-06-17 08:00:00+00:00,312.81,313.25,312.51,313.18,1284040
2025-06-17 09:00:00+00:00,313.18,314.2,313.18,313.9,2421280
2025-06-17 10:00:00+00:00,313.9,314.08,313.07,313.32,1230910
2025-06-17 11:00:00+00:00,313.36,313.7,312.79,313.12,1066350
2025-06-17 12:00:00+00:00,313.13,313.95,313.13,313.38,890470
2025-06-17 13:00:00+00:00,313.39,314.17,313.06,314.02,2160360
2025-06-17 14:00:00+00:00,314.1,314.89,313.73,314.04,3006440
2025-06-17 15:00:00+00:00,314.06,314.43,313.9,314.18,1100910
2025-06-17 16:00:00+00:00,314.2,314.93,314.12,314.41,1226250
2025-06-17 17:00:00+00:00,314.4,314.73,314.04,314.38,555540
2025-06-17 18:00:00+00:00,314.39,314.93,313.45,313.75,1359070
2025-06-17 19:00:00+00:00,313.75,313.85,313.3,313.8,766220
2025-06-17 20:00:00+00:00,313.8,313.84,313.33,313.56,463440
2025-06-18 03:00:00+00:00,313.56,313.56,313.56,313.56,12960
2025-06-18 04:00:00+00:00,313.6,314.19,313.5,313.99,553930
2025-06-18 05:00:00+00:00,313.92,314.14,313.6,313.99,231050
2025-06-18 06:00:00+00:00,313.97,314.82,313.59,314.39,702050
2025-06-18 07:00:00+00:00,314.38,314.39,311.63,312.75,3187130
2025-06-18 08:00:00+00:00,312.64,313.21,312.51,313.12,1426050
2025-06-18 09:00:00+00:00,313.14,313.84,312.74,313.7,1353640
2025-06-18 10:00:00+00:00,313.7,314.57,313.27,313.57,2147520
2025-06-18 11:00:00+00:00,313.63,314.34,313.31,313.86,1001160
2025-06-18 12:00:00+00:00,313.85,314.3,313.45,314.3,933610
2025-06-18 13:00:00+00:00,314.27,314.47,313.13,314.33,1442270
2025-06-18 14:00:00+00:00,314.39,314.4,313.3,313.72,1382280
2025-06-18 15:00:00+00:00,313.7,314.09,313.54,313.8,647980
2025-06-18 16:00:00+00:00,313.61,313.95,313.3,313.43,585990
2025-06-18 17:00:00+00:00,313.43,313.64,312.5,313.03,1178520
2025-06-18 18:00:00+00:00,313.02,313.27,313.0,313.21,196780
2025-06-18 19:00:00+00:00,313.21,313.21,312.81,313.09,304110
2025-06-18 20:00:00+00:00,313.08,313.48,312.9,313.38,320670
2025-06-19 03:00:00+00:00,313.41,313.41,313.41,313.41,13730
2025-06-19 04:00:00+00:00,313.5,314.03,313.2,313.67,330100
2025-06-19 05:00:00+00:00,313.75,314.25,313.5,313.79,354580
2025-06-19 06:00:00+00:00,313.78,314.18,313.6,313.85,508550
2025-06-19 07:00:00+00:00,313.85,316.18,313.5,315.78,5057170
2025-06-19 08:00:00+00:00,315.8,316.45,315.48,315.82,3080730
2025-06-19 09:00:00+00:00,315.82,315.99,315.27,315.34,943300
2025-06-19 10:00:00+00:00,315.31,315.52,314.51,314.59,2345710
2025-06-19 11:00:00+00:00,314.6,315.25,314.14,314.56,1862010
2025-06-19 12:00:00+00:00,314.56,314.61,312.85,313.01,7569770
2025-06-19 13:00:00+00:00,313.0,313.73,312.8,313.63,1865560
2025-06-19 14:00:00+00:00,313.63,313.7,313.05,313.6,1096150
2025-06-19 15:00:00+00:00,313.64,313.8,312.14,312.8,3349330
2025-06-19 16:00:00+00:00,312.72,312.9,312.35,312.86,538570
2025-06-19 17:00:00+00:00,312.83,313.04,312.34,312.51,534690
2025-06-19 18:00:00+00:00,312.5,312.9,312.25,312.89,388570
2025-06-19 19:00:00+00:00,312.89,312.97,312.72,312.78,156910
2025-06-19 20:00:00+00:00,312.79,312.83,312.32,312.46,315220
2025-06-20 03:00:00+00:00,312.46,312.46,312.46,312.46,10740
2025-06-20 04:00:00+00:00,312.46,313.32,312.03,313.31,367550
2025-06-20 05:00:00+00:00,313.31,313.32,312.8,312.92,151510
2025-06-20 06:00:00+00:00,312.93,313.59,312.92,313.37,620130
2025-06-20 07:00:00+00:00,313.35,313.35,311.5,312.18,3737130
2025-06-20 08:00:00+00:00,312.19,312.32,311.5,311.66,1951330
2025-06-20 09:00:00+00:00,311.64,312.18,311.1,311.92,1892740
2025-06-20 10:00:00+00:00,311.92,312.4,311.85,312.15,847330
2025-06-20 11:00:00+00:00,312.16,312.74,311.54,311.54,1644270
2025-06-20 12:00:00+00:00,311.55,312.39,311.3,311.36,1428110
2025-06-20 13:00:00+00:00,311.38,311.88,310.62,311.02,1909660
2025-06-20 14:00:00+00:00,311.02,311.7,310.7,311.48,1112160
2025-06-20 15:00:00+00:00,311.48,311.54,309.76,309.76,2617260
2025-06-20 16:00:00+00:00,310.07,310.15,309.3,309.96,2135920
2025-06-20 17:00:00+00:00,309.96,310.0,309.8,310.0,410420
2025-06-20 18:00:00+00:00,310.0,310.11,309.95,309.98,555260
2025-06-20 19:00:00+00:00,309.99,310.0,309.9,309.9,234350
2025-06-20 20:00:00+00:00,309.91,309.94,309.56,309.7,419330
2025-06-20 23:00:00+00:00,310.47,310.47,308.97,309.03,6050
2025-06-21 00:00:00+00:00,309.25,309.81,309.03,309.5,3470
2025-06-21 01:00:00+00:00,309.7,310.25,309.6,310.0,1580
2025-06-21 02:00:00+00:00,310.24,310.3,309.83,310.29,2660
2025-06-21 03:00:00+00:00,309.89,310.29,309.88,310.26,2950
2025-06-21 04:00:00+00:00,310.1,310.29,310.01,310.28,6600
2025-06-21 05:00:00+00:00,310.28,310.29,310.0,310.26,15950
2025-06-21 06:00:00+00:00,310.25,310.28,309.59,310.2,29170
2025-06-21 07:00:00+00:00,310.2,310.23,310.0,310.21,17600
2025-06-21 08:00:00+00:00,310.21,310.46,310.05,310.44,26140
2025-06-21 09:00:00+00:00,310.44,310.47,310.2,310.2,20080
2025-06-21 10:00:00+00:00,310.2,310.46,310.05,310.29,18440
2025-06-21 11:00:00+00:00,310.28,310.42,309.61,310.2,17200
2025-06-21 12:00:00+00:00,310.2,310.42,310.14,310.17,6120
2025-06-21 13:00:00+00:00,310.2,310.47,310.03,310.03,45750
2025-06-21 14:00:00+00:00,310.03,310.42,310.03,310.13,7850
2025-06-21 15:00:00+00:00,310.13,310.41,310.01,310.07,12210
2025-06-21 16:00:00+00:00,310.35,310.35,310.0,310.3,7840
2025-06-21 17:00:00+00:00,310.3,310.34,310.01,310.09,5390
2025-06-21 18:00:00+00:00,310.01,310.09,309.9,310.0,10860
2025-06-21 19:00:00+00:00,310.0,310.1,309.9,309.95,5800
2025-06-21 20:00:00+00:00,310.0,310.0,309.9,309.9,7720
2025-06-21 23:00:00+00:00,309.77,310.49,309.77,310.0,1420
2025-06-22 00:00:00+00:00,309.99,311.8,309.86,310.5,2820
2025-06-22 01:00:00+00:00,310.85,311.6,310.5,310.5,1160
2025-06-22 02:00:00+00:00,310.5,310.53,310.5,310.5,9030
2025-06-22 03:00:00+00:00,310.53,311.02,309.78,310.11,16520
2025-06-22 04:00:00+00:00,310.71,311.03,310.06,310.26,13820
2025-06-22 05:00:00+00:00,310.27,310.8,310.26,310.8,10070
2025-06-22 06:00:00+00:00,310.8,310.8,310.29,310.75,17500
2025-06-22 07:00:00+00:00,310.73,310.73,310.27,310.32,23840
2025-06-22 08:00:00+00:00,310.66,310.68,310.33,310.6,16590
2025-06-22 09:00:00+00:00,310.6,310.6,310.3,310.3,13420
2025-06-22 10:00:00+00:00,310.31,310.6,310.27,310.39,18270
2025-06-22 11:00:00+00:00,310.39,310.55,310.27,310.51,7940
2025-06-22 12:00:00+00:00,310.51,310.55,310.28,310.53,10360
2025-06-22 13:00:00+00:00,310.32,310.52,310.0,310.36,24670
2025-06-22 14:00:00+00:00,310.05,310.35,310.0,310.1,10360
2025-06-22 15:00:00+00:00,310.31,310.51,310.08,310.08,17220
2025-06-22 16:00:00+00:00,310.39,310.39,310.08,310.15,5870
2025-06-22 17:00:00+00:00,310.15,310.42,310.11,310.18,11400
2025-06-22 18:00:00+00:00,310.35,310.43,310.16,310.43,8430
2025-06-22 19:00:00+00:00,310.42,310.64,310.2,310.62,12510
2025-06-22 20:00:00+00:00,310.33,310.63,310.2,310.58,11270
2025-06-23 03:00:00+00:00,310.9,310.9,310.9,310.9,67010
2025-06-23 04:00:00+00:00,310.71,310.92,309.43,309.53,914340
2025-06-23 05:00:00+00:00,309.57,310.29,309.27,310.13,418050
2025-06-23 06:00:00+00:00,310.04,310.14,309.38,309.71,727020
2025-06-23 07:00:00+00:00,309.72,309.72,308.04,308.45,2890020
2025-06-23 08:00:00+00:00,308.46,309.24,308.1,309.0,1524750
2025-06-23 09:00:00+00:00,309.0,309.4,308.65,309.0,1212340
2025-06-23 10:00:00+00:00,309.0,309.7,308.65,309.27,834850
2025-06-23 11:00:00+00:00,309.28,309.39,308.65,308.77,662510
2025-06-23 12:00:00+00:00,308.76,309.37,308.65,309.34,787480
2025-06-23 13:00:00+00:00,309.36,311.44,309.18,310.81,2200900
2025-06-23 14:00:00+00:00,310.81,311.4,310.77,310.97,1118570
2025-06-23 15:00:00+00:00,310.97,311.15,310.84,310.97,849120
2025-06-23 16:00:00+00:00,310.85,311.15,310.08,310.3,640300
2025-06-23 17:00:00+00:00,310.3,310.69,309.86,310.51,450480
2025-06-23 18:00:00+00:00,310.51,310.61,310.13,310.61,174190
2025-06-23 19:00:00+00:00,310.62,310.87,310.52,310.59,210360
2025-06-23 20:00:00+00:00,310.6,310.61,310.15,310.17,268000
2025-06-24 03:00:00+00:00,310.3,310.3,310.3,310.3,3200
2025-06-24 04:00:00+00:00,310.31,312.02,310.17,311.45,767260
2025-06-24 05:00:00+00:00,311.45,312.01,311.13,311.61,621050
2025-06-24 06:00:00+00:00,311.61,311.61,310.05,310.7,983600
2025-06-24 07:00:00+00:00,310.69,311.3,309.76,310.1,1669640
2025-06-24 08:00:00+00:00,310.1,310.66,309.52,310.06,1507750
2025-06-24 09:00:00+00:00,310.07,311.0,309.9,310.89,1014940
2025-06-24 10:00:00+00:00,310.92,311.25,310.05,310.06,983900
2025-06-24 11:00:00+00:00,310.05,310.74,309.03,309.26,2184040
2025-06-24 12:00:00+00:00,309.28,309.92,309.0,309.54,1003100
2025-06-24 13:00:00+00:00,309.55,310.87,309.54,309.57,1521190
2025-06-24 14:00:00+00:00,309.61,311.75,309.6,311.09,2731830
2025-06-24 15:00:00+00:00,311.12,311.26,310.28,310.82,679890
2025-06-24 16:00:00+00:00,310.82,310.9,309.51,310.33,1473270
2025-06-24 17:00:00+00:00,310.34,310.7,310.23,310.65,229600
2025-06-24 18:00:00+00:00,310.65,311.6,310.56,310.86,855480
2025-06-24 19:00:00+00:00,310.86,311.47,310.79,311.43,360740
2025-06-24 20:00:00+00:00,311.44,311.5,311.01,311.37,403990
2025-06-25 03:00:00+00:00,311.65,311.65,311.65,311.65,2930
2025-06-25 04:00:00+00:00,311.6,312.97,311.57,312.01,1269270
2025-06-25 05:00:00+00:00,312.01,312.23,311.72,312.1,329410
2025-06-25 06:00:00+00:00,312.08,312.7,311.79,312.63,898330
2025-06-25 07:00:00+00:00,312.63,314.22,312.44,314.04,4317960
2025-06-25 08:00:00+00:00,314.06,314.29,313.35,314.15,1961030
2025-06-25 09:00:00+00:00,314.19,314.21,313.13,313.88,1838790
2025-06-25 10:00:00+00:00,313.87,314.0,313.2,313.71,1320700
2025-06-25 11:00:00+00:00,313.7,313.98,312.8,313.65,1649720
2025-06-25 12:00:00+00:00,313.66,313.85,312.95,313.09,1243680
2025-06-25 13:00:00+00:00,313.11,313.7,312.8,312.85,683800
2025-06-25 14:00:00+00:00,312.87,314.0,312.61,313.7,1491660
2025-06-25 15:00:00+00:00,313.73,314.12,313.5,314.1,1036190
2025-06-25 16:00:00+00:00,313.72,314.18,313.38,313.72,882570
2025-06-25 17:00:00+00:00,313.71,313.96,313.52,313.6,352150
2025-06-25 18:00:00+00:00,313.55,313.87,313.49,313.67,232240
2025-06-25 19:00:00+00:00,313.7,313.9,313.5,313.6,293850
2025-06-25 20:00:00+00:00,313.6,313.79,313.4,313.78,425830
2025-06-26 03:00:00+00:00,313.8,313.8,313.8,313.8,16830
2025-06-26 04:00:00+00:00,313.79,314.5,313.35,314.35,765940
2025-06-26 05:00:00+00:00,314.39,314.4,313.99,314.15,218890
2025-06-26 06:00:00+00:00,314.14,314.33,314.0,314.18,527180
2025-06-26 07:00:00+00:00,314.17,314.47,313.5,313.89,1326410
2025-06-26 08:00:00+00:00,313.89,313.9,313.0,313.02,1763200
2025-06-26 09:00:00+00:00,313.02,313.6,312.74,313.49,1236830
2025-06-26 10:00:00+00:00,313.49,313.8,312.92,313.55,1348100
2025-06-26 11:00:00+00:00,313.55,313.76,312.9,313.39,777710
2025-06-26 12:00:00+00:00,313.4,313.67,313.09,313.47,1165210
2025-06-26 13:00:00+00:00,313.51,313.6,313.18,313.56,771820
2025-06-26 14:00:00+00:00,313.56,313.99,313.5,313.58,694510
2025-06-26 15:00:00+00:00,313.59,313.79,313.18,313.51,704550
2025-06-26 16:00:00+00:00,313.51,313.72,313.23,313.29,214480
2025-06-26 17:00:00+00:00,313.29,313.29,312.8,313.04,621100
2025-06-26 18:00:00+00:00,313.03,313.1,312.92,312.96,219600
2025-06-26 19:00:00+00:00,312.97,313.26,312.95,313.06,141280
2025-06-26 20:00:00+00:00,313.06,313.1,312.75,312.84,463250
2025-06-27 03:00:00+00:00,313.03,313.03,313.03,313.03,4030
2025-06-27 04:00:00+00:00,313.31,313.48,313.0,313.47,219190
2025-06-27 05:00:00+00:00,313.47,313.47,313.1,313.11,157690
2025-06-27 06:00:00+00:00,313.12,313.67,313.1,313.45,316100
2025-06-27 07:00:00+00:00,313.46,313.55,313.06,313.3,837300
2025-06-27 08:00:00+00:00,313.3,314.27,313.22,314.01,1843100
2025-06-27 09:00:00+00:00,314.01,314.92,313.72,314.56,3166420
2025-06-27 10:00:00+00:00,314.54,314.9,313.82,313.85,1516480
2025-06-27 11:00:00+00:00,313.88,313.98,313.1,313.56,1541350
2025-06-27 12:00:00+00:00,313.56,313.83,313.1,313.42,912330
2025-06-27 13:00:00+00:00,313.41,314.54,313.21,314.4,1429480
2025-06-27 14:00:00+00:00,314.4,314.8,313.92,314.57,1996470
2025-06-27 15:00:00+00:00,314.55,315.0,314.3,314.59,1670440
2025-06-27 16:00:00+00:00,314.6,315.3,314.13,315.23,1371660
2025-06-27 17:00:00+00:00,315.28,315.5,314.74,314.95,688980
2025-06-27 18:00:00+00:00,314.95,314.95,314.52,314.72,382020
2025-06-27 19:00:00+00:00,314.73,315.18,314.71,315.17,480730
2025-06-27 20:00:00+00:00,315.16,315.39,314.88,315.18,501880
2025-06-27 23:00:00+00:00,315.65,315.97,314.65,315.0,4090
2025-06-28 00:00:00+00:00,315.0,315.2,314.87,314.87,670
2025-06-28 01:00:00+00:00,315.17,315.47,314.87,314.89,3800
2025-06-28 02:00:00+00:00,315.42,315.5,315.0,315.49,6230
2025-06-28 03:00:00+00:00,315.11,315.49,314.88,315.38,7040
2025-06-28 04:00:00+00:00,315.0,315.4,315.0,315.39,6640
2025-06-28 05:00:00+00:00,315.09,315.56,315.09,315.49,17150
2025-06-28 06:00:00+00:00,315.2,315.62,315.1,315.2,10810
2025-06-28 07:00:00+00:00,315.21,315.67,315.11,315.46,209700
2025-06-28 08:00:00+00:00,315.46,315.62,315.45,315.61,141490
2025-06-28 09:00:00+00:00,315.61,315.62,315.2,315.5,112850
2025-06-28 10:00:00+00:00,315.5,315.62,315.32,315.44,66530
2025-06-28 11:00:00+00:00,315.39,315.59,315.31,315.5,45000
2025-06-28 12:00:00+00:00,315.56,315.6,315.3,315.5,70410
2025-06-28 13:00:00+00:00,315.5,315.62,315.4,315.43,110070
2025-06-28 14:00:00+00:00,315.47,315.5,315.34,315.43,36400
2025-06-28 15:00:00+00:00,315.47,315.56,315.31,315.31,97610
2025-06-28 16:00:00+00:00,314.55,315.66,313.62,315.43,9170
2025-06-28 17:00:00+00:00,315.13,315.54,315.0,315.43,10690
2025-06-28 18:00:00+00:00,315.43,315.46,315.05,315.18,7600
2025-06-28 19:00:00+00:00,315.05,315.1,315.04,315.1,11600
2025-06-28 20:00:00+00:00,315.18,315.4,315.1,315.4,8030
2025-06-28 23:00:00+00:00,314.47,330.31,314.47,315.54,4800
2025-06-29 00:00:00+00:00,315.93,316.0,315.48,315.51,1510
2025-06-29 01:00:00+00:00,315.94,316.0,315.42,315.42,1060
2025-06-29 02:00:00+00:00,315.9,316.0,315.42,316.0,1880
2025-06-29 03:00:00+00:00,315.98,315.98,315.57,315.57,2770
2025-06-29 04:00:00+00:00,315.57,315.97,315.57,315.58,5570
2025-06-29 05:00:00+00:00,315.58,315.9,315.5,315.9,6140
2025-06-29 06:00:00+00:00,315.61,315.9,315.32,315.32,6760
2025-06-29 07:00:00+00:00,315.46,315.99,315.31,315.95,201590
2025-06-29 08:00:00+00:00,315.95,316.0,315.61,315.65,82060
2025-06-29 09:00:00+00:00,315.65,315.82,315.6,315.71,25560
2025-06-29 10:00:00+00:00,315.71,315.99,315.65,315.88,122840
2025-06-29 11:00:00+00:00,315.88,316.0,315.75,315.96,132940
2025-06-29 12:00:00+00:00,315.98,316.29,315.9,316.03,181020
2025-06-29 13:00:00+00:00,316.01,317.5,316.0,316.36,1033770
2025-06-29 14:00:00+00:00,316.4,316.65,315.7,316.38,497290
2025-06-29 15:00:00+00:00,316.38,316.48,315.88,315.95,363460
2025-06-29 16:00:00+00:00,315.95,316.78,315.95,316.38,22690
2025-06-29 17:00:00+00:00,316.04,316.38,315.54,315.95,18740
2025-06-29 18:00:00+00:00,315.55,315.94,315.5,315.7,11490
2025-06-29 19:00:00+00:00,315.7,315.99,315.52,315.99,20530
2025-06-29 20:00:00+00:00,315.59,316.23,315.53,316.12,22740
2025-06-30 03:00:00+00:00,315.95,315.95,315.95,315.95,17800
2025-06-30 04:00:00+00:00,315.95,316.5,315.9,316.5,524190
2025-06-30 05:00:00+00:00,316.47,316.82,316.26,316.41,551320
2025-06-30 06:00:00+00:00,316.48,316.82,315.66,316.79,1137400
2025-06-30 07:00:00+00:00,316.8,317.7,315.78,316.0,5623100
2025-06-30 08:00:00+00:00,316.0,316.43,314.6,314.76,4304060
2025-06-30 09:00:00+00:00,314.77,315.64,314.66,314.66,2807230
2025-06-30 10:00:00+00:00,314.69,316.47,314.62,316.36,2977060
2025-06-30 11:00:00+00:00,316.37,316.6,315.91,316.3,1625850
2025-06-30 12:00:00+00:00,316.32,316.52,315.8,316.45,1400080
2025-06-30 13:00:00+00:00,316.45,316.55,316.0,316.29,1382970
2025-06-30 14:00:00+00:00,316.29,316.95,316.15,316.87,1563880
